feature,importance
Volumen_promedio_diario,0.87265813
Es horario comercial,0.015545278
Spread_TC,0.013434699
total_operaciones,0.012258396
Spread_Ponderado_5,0.01148857
Hora,0.011262447
Frecuencia_Cliente,0.011065175
Volumen_Ponderado_5,0.010517815
Minuto,0.0104899425
Volumen_std_diario,0.007369063
Rango_Horario,0.006678032
TC_std_diario,0.0064341547
TC_range_diario,0.0060757343
Volatilidad_Horaria,0.00472259
volumen_rolling_30d_sum,0.0
volumen_rolling_30d_mean,0.0
volumen_rolling_14d_sum,0.0
volumen_rolling_14d_mean,0.0
volumen_rolling_14d_std,0.0
volumen_rolling_7d_sum,0.0
volumen_rolling_7d_std,0.0
volumen_rolling_7d_mean,0.0
volumen_rolling_30d_std,0.0
tc_rolling_30d_mean,0.0
tc_rolling_7d_std,0.0
tc_rolling_7d_mean,0.0
tc_rolling_14d_std,0.0
tc_rolling_14d_mean,0.0
tc_rolling_30d_std,0.0
